,id,latitude,longitude,time
104,1607859587876494767_2143859577,40.448139161787,-3.6990189452806,2017-09-20 04:17:00
105,1607859530339181677_311537083,40.43589,-3.71649,2017-09-20 04:16:54
106,1607859519986971030_1596134863,40.4,-3.68333,2017-09-20 04:16:52
107,1607859446252089100_536598120,40.411070579405,-3.6830847771771,2017-09-20 04:16:44
108,1607859444740430688_3501081873,40.4,-3.68333,2017-09-20 04:16:43
110,1607859424213589425_210750314,40.4443791,-3.6915592,2017-09-20 04:16:41
113,1607859306303546984_673660524,40.4,-3.68333,2017-09-20 04:16:27
114,1607859290021800446_4858151414,40.4,-3.68333,2017-09-20 04:16:25
115,1607859283159925024_3244703063,40.425761800235,-3.7037037302945,2017-09-20 04:16:24
116,1607859275585325339_13475118,40.412369917046,-3.7147148607294,2017-09-20 04:16:23
117,1607859232753281939_3291145,40.42808,-3.69909,2017-09-20 04:16:18
118,1607859218651912840_4783591261,40.42307,-3.66709,2017-09-20 04:16:16
119,1607859195733705851_2085905862,40.41498,-3.70342,2017-09-20 04:16:14
120,1607859079483528993_2106525928,40.4205284,-3.68735,2017-09-20 04:16:00
121,1607859076758166478_1415653999,40.4,-3.68333,2017-09-20 04:15:59
125,1607859055401170717_256808333,40.4,-3.68333,2017-09-20 04:15:57
126,1607859022030832688_2300770185,40.4,-3.68333,2017-09-20 04:15:53
129,1607858974257732608_3580815169,40.4,-3.68333,2017-09-20 04:15:47
131,1607865643200340891_55083119,40.405904145,-3.70243519,2017-09-20 04:29:02
132,1607865629058493511_1794702349,40.416110992432,-3.6836111545563,2017-09-20 04:29:01
133,1607865612321979829_463634292,40.4,-3.68333,2017-09-20 04:28:59
134,1607865395425864785_178228417,40.4321399,-3.71351,2017-09-20 04:28:33
135,1607865317555408397_1437515758,40.4385199,-3.70505,2017-09-20 04:28:23
136,1607865108803964269_1216277669,40.415260483375,-3.7081003189087,2017-09-20 04:27:59
137,1607865097447111437_6003844804,40.4,-3.68333,2017-09-20 04:27:57
138,1607865075266502919_2236029960,40.411070579405,-3.6830847771771,2017-09-20 04:27:55
140,1607864985149339633_282190069,40.42259,-3.69216,2017-09-20 04:27:44
141,1607864974343779491_5822339601,40.43,-3.677778,2017-09-20 04:27:43
142,1607864953053075961_174104015,40.4,-3.68333,2017-09-20 04:27:40
