,id,time,latitude,longitude
207,1607894539892029375_387543091,2017-09-20 05:26:27,40.4,-3.68333
208,1607894432106113592_1518719143,2017-09-20 05:26:14,40.4,-3.68333
209,1607894422442629140_4658824211,2017-09-20 05:26:13,40.4,-3.68333
210,1607894421848548596_4692980788,2017-09-20 05:26:13,40.4,-3.68333
211,1607894377505758916_4450249034,2017-09-20 05:26:08,40.4,-3.68333
212,1607894261860958525_6046561184,2017-09-20 05:25:54,40.4,-3.68333
214,1607894142128999148_1326718629,2017-09-20 05:25:40,40.4,-3.68333
215,1607894066699479095_257246484,2017-09-20 05:25:31,40.426760973591,-3.6982967263031
222,1607894048488408980_288757825,2017-09-20 05:25:28,40.4204099,-3.70159
224,1607894011912526091_2291866352,2017-09-20 05:25:24,40.4156199,-3.7062
226,1607893971882069506_5814851290,2017-09-20 05:25:19,40.4,-3.68333
227,1607893933193485293_446291472,2017-09-20 05:25:15,40.42042,-3.71906
228,1607893849233757920_5887369402,2017-09-20 05:25:05,40.4,-3.68333
229,1607893771613517461_2769290,2017-09-20 05:24:55,40.414366,-3.697593
231,1607893755289252066_805742475,2017-09-20 05:24:53,40.4183004373,-3.70945134997
233,1607893685202930502_1969891217,2017-09-20 05:24:45,40.41654,-3.69863
236,1607893628594876033_4853013110,2017-09-20 05:24:38,40.4,-3.68333
237,1607893583187272278_1485894504,2017-09-20 05:24:33,40.442350295858,-3.7125338917541
238,1607893478397972484_2020148153,2017-09-20 05:24:20,40.4,-3.68333
239,1607893459111715488_2045258698,2017-09-20 05:24:18,40.4159999,-3.69473
240,1607893390693839851_2030215208,2017-09-20 05:24:10,40.405904145,-3.70243519
241,1607893295283189006_3645111564,2017-09-20 05:23:59,40.4296799,-3.68749
242,1607893140269983859_2074299989,2017-09-20 05:23:40,40.428247251848,-3.6925864219666
243,1607893131662111987_1461297561,2017-09-20 05:23:39,40.42211,-3.70313
245,1607893083169285566_3271387109,2017-09-20 05:23:33,40.4,-3.68333
246,1607893059453281382_1134770701,2017-09-20 05:23:31,40.4253799,-3.68512
247,1607892978150442856_2346856563,2017-09-20 05:23:21,40.4,-3.68333
248,1607892814423526369_285688940,2017-09-20 05:23:01,40.4,-3.68333
249,1607892688593439689_306771701,2017-09-20 05:22:46,40.4,-3.68333
250,1607892670800414021_3554679799,2017-09-20 05:22:44,40.4,-3.68333
251,1607892630704579969_4016577402,2017-09-20 05:22:39,40.40184,-3.67331
254,1607892598517036602_6026484158,2017-09-20 05:22:36,40.4,-3.68333
255,1607892584189689515_350501341,2017-09-20 05:22:34,40.440167966615,-3.7310771256232
256,1607892523187890144_2316428523,2017-09-20 05:22:27,40.42,-3.701667
259,1607892494043864392_344183453,2017-09-20 05:22:23,40.43335,-3.67457
260,1607892451758760938_278547678,2017-09-20 05:22:18,40.4,-3.68333
261,1607892425550881728_258136440,2017-09-20 05:22:15,40.4,-3.68333
262,1607892415720918725_2997606108,2017-09-20 05:22:14,40.4,-3.68333
263,1607892266990282439_1409861128,2017-09-20 05:21:56,40.41518889,-3.68198889
264,1607892239694826651_2990871330,2017-09-20 05:21:53,40.43413,-3.71085
265,1607892212331239938_3404893993,2017-09-20 05:21:50,40.4,-3.68333
266,1607892194537905448_5795128378,2017-09-20 05:21:47,40.4,-3.68333
267,1607892159297340548_2879620965,2017-09-20 05:21:43,40.44381,-3.67598
268,1607892113930869447_1977366154,2017-09-20 05:21:38,40.42163,-3.7071
269,1607892109862763383_5644502414,2017-09-20 05:21:37,40.407589,-3.69963
270,1607892083313937057_5652350137,2017-09-20 05:21:34,40.4121,-3.69937
271,1607892058609364178_404015656,2017-09-20 05:21:31,40.42138,-3.70482
272,1607892045622443625_1950019222,2017-09-20 05:21:30,40.41686980235,-3.712866485672
273,1607892041580110488_194447478,2017-09-20 05:21:29,40.4,-3.68333
274,1607892032603567288_1326718629,2017-09-20 05:21:28,40.4,-3.68333
275,1607892022436306715_629222790,2017-09-20 05:21:27,40.4,-3.68333
276,1607892015458329549_325348481,2017-09-20 05:21:26,40.420283964732,-3.7045115232468
277,1607891959079059768_291037113,2017-09-20 05:21:19,40.4238586,-3.7054901
278,1607891934517307140_195791821,2017-09-20 05:21:16,40.4,-3.68333
279,1607891917269752250_1636746300,2017-09-20 05:21:14,40.4,-3.68333
280,1607891904007839677_5506231042,2017-09-20 05:21:13,40.42028,-3.70578
281,1607891884864439651_3316813,2017-09-20 05:21:10,40.417063727933,-3.7035201752774
282,1607891881340305617_300456743,2017-09-20 05:21:10,40.43497,-3.71803
283,1607891880358880761_1644751168,2017-09-20 05:21:10,40.417063727933,-3.7035201752774
284,1607891865695385506_351963151,2017-09-20 05:21:08,40.4,-3.68333
285,1607891808761967711_3686902151,2017-09-20 05:21:01,40.411070579405,-3.6830847771771
286,1607891800826225699_4640358515,2017-09-20 05:21:00,40.45592,-3.69958
287,1607891720011138962_2260667432,2017-09-20 05:20:51,40.398071622853,-3.7042808532715
289,1607891706538134614_1551150460,2017-09-20 05:20:49,40.4388,-3.69285
290,1607891694837961568_49824540,2017-09-20 05:20:48,40.42278,-3.71194
291,1607891612747080196_176844820,2017-09-20 05:20:38,40.4,-3.68333
292,1607891528802287527_266646944,2017-09-20 05:20:28,40.4,-3.68333
293,1607891430821848078_1326718629,2017-09-20 05:20:16,40.4,-3.68333
294,1607891396697988248_1206147603,2017-09-20 05:20:12,40.427529,-3.695719
295,1607891381203034393_3942091417,2017-09-20 05:20:10,40.4,-3.68333
299,1607926065328670891_5989624459,2017-09-20 06:29:05,40.431497635518,-3.7103748321533
300,1607926059986055710_2306313454,2017-09-20 06:29:04,40.4,-3.68333
301,1607926057176266783_4980798024,2017-09-20 06:29:04,40.4,-3.68333
302,1607926049441946771_2218914268,2017-09-20 06:29:03,40.4,-3.68333
303,1607926022119087364_2093703493,2017-09-20 06:29:00,40.3899612,-3.6919999
304,1607925947753850829_307474613,2017-09-20 06:28:51,40.41669,-3.70474
305,1607925921994284727_960395325,2017-09-20 06:28:48,40.429877202308,-3.6708748123077
306,1607925911305417717_4419615893,2017-09-20 06:28:47,40.422677133689,-3.7064266204834
307,1607925856880205952_4477068,2017-09-20 06:28:40,40.42878,-3.66882
308,1607925845984269388_1641530060,2017-09-20 06:28:39,40.41717,-3.67613
309,1607925817680193411_484358201,2017-09-20 06:28:36,40.4,-3.68333
310,1607925805726652838_1157336959,2017-09-20 06:28:34,40.42138,-3.70482
311,1607925795879510386_3407198873,2017-09-20 06:28:33,40.40876,-3.70498
312,1607925790199466062_2022159739,2017-09-20 06:28:32,40.401667,-3.720556
313,1607925769094290322_257649147,2017-09-20 06:28:30,40.4,-3.68333
314,1607925735372549911_1632652058,2017-09-20 06:28:26,40.410963810254,-3.6940159207153
315,1607925688539475304_196796271,2017-09-20 06:28:20,40.42374,-3.69592
